                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7213,                 1.1886,                 1.4099,                0.75345,                0.63166,                0.69138,                0.32601,                 1.7808,                 1.2101,                 1.5534,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.723,                 1.1785,                 1.4081,                 0.7139,                0.62201,                0.66924,                0.32002,                 1.7678,                 1.1999,                 1.5279,               0.000614,               0.000614,               0.000614
                     37,                 1.7206,                 1.1784,                 1.4089,                0.76291,                0.67128,                0.70712,                0.33478,                 1.7271,                  1.171,                 1.5085,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6954,                 1.1701,                 1.4206,                0.75773,                0.68325,                0.71955,                0.33394,                 1.7544,                 1.1361,                 1.5237,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6782,                  1.152,                 1.4048,                0.75889,                0.66411,                 0.7135,                0.33657,                 1.7351,                 1.1434,                 1.5052,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6762,                 1.1352,                 1.3798,                0.74282,                0.65742,                0.70113,                0.33454,                 1.7225,                 1.1616,                 1.4997,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6841,                 1.1248,                  1.409,                0.77071,                0.65455,                0.72114,                0.33683,                 1.7319,                 1.1324,                 1.5107,               0.000416,               0.000416,               0.000416
                     42,                 1.6771,                 1.0906,                 1.4072,                0.76471,                0.66246,                0.72273,                0.34479,                 1.7414,                 1.1031,                 1.5103,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6531,                 1.0644,                 1.3923,                 0.7795,                0.66643,                0.72254,                0.35198,                 1.7051,                 1.0789,                 1.5017,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.6537,                 1.0536,                 1.4018,                0.78464,                0.64976,                0.72262,                0.34894,                 1.7197,                 1.0841,                 1.5121,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6506,                 1.0383,                 1.3795,                0.79218,                0.64566,                0.72917,                0.34945,                 1.7393,                 1.0934,                 1.5187,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6402,                  1.029,                 1.3866,                0.75629,                0.68004,                0.72988,                0.35811,                  1.724,                 1.0419,                 1.5199,               0.000218,               0.000218,               0.000218
                     47,                 1.6279,                 1.0207,                 1.3844,                0.79136,                0.66699,                0.72991,                0.35141,                  1.736,                 1.0696,                  1.515,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6219,                 1.0059,                 1.3782,                0.77395,                0.67164,                0.73096,                 0.3551,                 1.7173,                 1.0507,                 1.5039,              0.0001388,              0.0001388,              0.0001388
                     49,                   1.62,                 1.0053,                 1.3707,                 0.7981,                0.65062,                0.73315,                0.35832,                 1.7154,                  1.046,                 1.5016,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6077,                0.99864,                  1.377,                0.78724,                0.66411,                0.73762,                0.36016,                 1.7132,                   1.03,                 1.5084,               5.96e-05,               5.96e-05,               5.96e-05
